------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:42:08 (uptime: 0d, 00h 00m 18s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
capture.afpacket.poll_timeout                 | Total                     | 6195
capture.afpacket.poll_data                    | Total                     | 4542
decoder.pkts                                  | Total                     | 9952
decoder.bytes                                 | Total                     | 9860232
decoder.ipv4                                  | Total                     | 36
decoder.ipv6                                  | Total                     | 9879
decoder.ethernet                              | Total                     | 9952
decoder.arp                                   | Total                     | 31
decoder.unknown_ethertype                     | Total                     | 6
decoder.tcp                                   | Total                     | 539
tcp.syn                                       | Total                     | 3
tcp.synack                                    | Total                     | 3
decoder.udp                                   | Total                     | 9269
decoder.icmpv6                                | Total                     | 107
decoder.avg_pkt_size                          | Total                     | 990
decoder.max_pkt_size                          | Total                     | 1486
tcp.active_sessions                           | Total                     | 2
flow.total                                    | Total                     | 36
flow.active                                   | Total                     | 25
flow.tcp                                      | Total                     | 7
flow.udp                                      | Total                     | 12
flow.icmpv6                                   | Total                     | 17
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
decoder.event.ipv6.zero_len_padn              | Total                     | 2
tcp.sessions                                  | Total                     | 2
tcp.ssn_from_pool                             | Total                     | 2
tcp.segment_from_pool                         | Total                     | 4
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 2
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 10
app_layer.tx.dns_udp                          | Total                     | 20
flow.end.state.new                            | Total                     | 11
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10011
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 47
flow.mgr.flows_notimeout                      | Total                     | 36
flow.mgr.flows_timeout                        | Total                     | 11
flow.mgr.flows_evicted                        | Total                     | 11
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 11
flow.recycler.queue_max                       | Total                     | 4
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1384448
http.memuse                                   | Total                     | 224
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:43:04 (uptime: 0d, 00h 01m 14s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 10968
capture.afpacket.polls                        | Total                     | 12276
capture.afpacket.poll_timeout                 | Total                     | 7250
capture.afpacket.poll_data                    | Total                     | 5026
decoder.pkts                                  | Total                     | 10975
decoder.bytes                                 | Total                     | 10855207
decoder.ipv4                                  | Total                     | 54
decoder.ipv6                                  | Total                     | 10879
decoder.ethernet                              | Total                     | 10975
decoder.arp                                   | Total                     | 35
decoder.unknown_ethertype                     | Total                     | 7
decoder.tcp                                   | Total                     | 567
tcp.syn                                       | Total                     | 17
tcp.synack                                    | Total                     | 3
decoder.udp                                   | Total                     | 10242
decoder.icmpv6                                | Total                     | 124
decoder.avg_pkt_size                          | Total                     | 989
decoder.max_pkt_size                          | Total                     | 1486
tcp.active_sessions                           | Total                     | 10
flow.total                                    | Total                     | 46
flow.active                                   | Total                     | 35
flow.tcp                                      | Total                     | 15
flow.udp                                      | Total                     | 14
flow.icmpv6                                   | Total                     | 17
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
decoder.event.ipv6.zero_len_padn              | Total                     | 2
tcp.sessions                                  | Total                     | 10
tcp.ssn_from_pool                             | Total                     | 10
tcp.segment_from_pool                         | Total                     | 4
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 2
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 12
app_layer.tx.dns_udp                          | Total                     | 24
flow.end.state.new                            | Total                     | 11
flow.mgr.full_hash_pass                       | Total                     | 7
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10011
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 51
flow.mgr.flows_notimeout                      | Total                     | 40
flow.mgr.flows_timeout                        | Total                     | 11
flow.mgr.flows_evicted                        | Total                     | 11
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 11
flow.recycler.queue_max                       | Total                     | 4
tcp.memuse                                    | Total                     | 7471488
